ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnk1MDc3NzU=;https://github.com/elastic/elasticsearch;elasticsearch;elastic/elasticsearch;62923;62365;53845;108;Java;2010-02-08T13:20:56Z;2023-03-03T21:30:17Z;28109;31681
MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=;https://github.com/florinpop17/app-ideas;app-ideas;florinpop17/app-ideas;62840;556;149;0;;2019-02-25T18:36:56Z;2020-07-07T10:38:10Z;35;113
MDEwOlJlcG9zaXRvcnkzNjc4NzMx;https://github.com/webpack/webpack;webpack;webpack/webpack;62610;6010;4201;382;JavaScript;2012-03-10T10:08:14Z;2023-03-03T20:12:41Z;9185;9378
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==;https://github.com/netdata/netdata;netdata;netdata/netdata;62193;7187;6354;61;C;2013-06-17T18:39:10Z;2023-03-04T00:17:23Z;7005;7234
MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==;https://github.com/Hack-with-Github/Awesome-Hacking;Awesome-Hacking;Hack-with-Github/Awesome-Hacking;62105;88;27;0;;2016-03-30T15:47:10Z;2022-08-27T11:22:09Z;0;0
MDEwOlJlcG9zaXRvcnk1OTY4OTI=;https://github.com/pallets/flask;flask;pallets/flask;62090;2344;1445;24;Python;2010-04-06T11:11:59Z;2023-03-01T17:04:40Z;2463;2466
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==;https://github.com/apple/swift;swift;apple/swift;61973;47080;41176;46;C++;2015-10-23T21:15:07Z;2023-03-05T01:43:56Z;7643;13395
MDEwOlJlcG9zaXRvcnkyMzcxNTk=;https://github.com/expressjs/express;express;expressjs/express;60121;1140;268;147;JavaScript;2009-06-26T18:56:01Z;2023-02-26T18:34:32Z;3615;3718
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;GitHub-Chinese-Top-Charts;GrowingGit/GitHub-Chinese-Top-Charts;60066;17;0;0;Java;2019-09-05T03:01:56Z;2023-03-05T00:07:55Z;149;254
MDEwOlJlcG9zaXRvcnk4ODQzNjgz;https://github.com/chartjs/Chart.js;Chart.js;chartjs/Chart.js;59972;3676;2858;101;JavaScript;2013-03-17T23:56:36Z;2023-03-01T23:46:01Z;6546;6753
MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=;https://github.com/tauri-apps/tauri;tauri;tauri-apps/tauri;59842;3211;2869;500;Rust;2019-07-13T09:09:37Z;2023-02-22T13:10:54Z;1983;2327
MDEwOlJlcG9zaXRvcnkxMzM0MzY5;https://github.com/resume/resume.github.com;resume.github.com;resume/resume.github.com;59444;183;84;0;JavaScript;2011-02-06T13:39:55Z;2016-08-05T05:37:30Z;59;108
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==;https://github.com/reduxjs/redux;redux;reduxjs/redux;59305;2403;1583;70;TypeScript;2015-05-29T23:53:15Z;2023-02-28T03:27:06Z;1938;1981
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==;https://github.com/kdn251/interviews;interviews;kdn251/interviews;59302;162;42;0;Java;2017-02-14T18:19:25Z;2020-06-06T02:37:07Z;20;51
MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=;https://github.com/coder/code-server;code-server;coder/code-server;59258;1589;1258;102;TypeScript;2019-02-27T16:50:41Z;2023-03-04T07:24:54Z;2917;3161
MDEwOlJlcG9zaXRvcnk0NjAwNzg=;https://github.com/angular/angular.js;angular.js;angular/angular.js;59248;7999;789;0;JavaScript;2010-01-06T00:34:37Z;2022-04-12T15:48:22Z;8649;9040
MDEwOlJlcG9zaXRvcnkzMjI4NTA1;https://github.com/atom/atom;atom;atom/atom;59175;5281;3937;538;JavaScript;2012-01-20T18:18:21Z;2022-11-22T16:11:57Z;16156;17125
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==;https://github.com/godotengine/godot;godot;godotengine/godot;58790;33085;26392;42;C++;2014-01-04T16:05:36Z;2023-03-03T10:09:27Z;33009;40310
